dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,lam_1se,lam_cv,lam_cw,d_local,d_extra,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_blend_cw,ap_blend_1se,ap_blend_cv,ap_oracle_extrap,ap_oracle_rich,ap_pfedme_personal,ap_oracle_half,ap_oracle_honest,ap_blend_half,ap_ditto,ap_oracle_ditto,ap_oracle_lambda_cw,ap_gate_loso,cut_loso,ap_gate_bestcut
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.0,0.875,0.0,0.625,nan,36,-1,0.3173539991193024,0.3420236388077823,0.3420236388077823,0.3173539991193024,0.3173539991193024,0.3253865576493012,0.33465227750325727,0.3431481111614958,0.3420236388077823,0.34602499350014093,nan,0.3173539991193024,0.3400125046608121,0.34602499350014093,0.34602499350014093,0.3451674065824585,0.3495215119213744,0.3495215119213744,0.3224838404232613,nan,nan,nan,0.3173539991193024,2.103448275862069,0.3173539991193024
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.5,0.75,0.375,0.875,nan,36,-1,0.336894008870085,0.3518656063813114,0.3518656063813114,0.336894008870085,0.35124505816528256,0.3434683408832918,0.35124505816528256,0.356593774804356,0.3518656063813114,0.356593774804356,nan,0.3472332776650616,0.3549319461626683,0.356593774804356,0.356593774804356,0.35441661503534555,0.3647440001130156,0.3548523312625875,0.35599784044868155,nan,nan,nan,0.336894008870085,2.103448275862069,0.336894008870085
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.75,0.875,0.625,0.625,nan,36,-1,0.29803286006994156,0.31799858892324956,0.31799858892324956,0.31799858892324956,0.3176600408028207,0.30702052661730844,0.31294558636369085,0.3176600408028207,0.31799858892324956,0.32242418001157697,nan,0.31679365759680217,0.31679365759680217,0.32242418001157697,0.32242418001157697,0.3224341549930297,0.33088927281835334,0.3148007075075149,0.32496398044700175,nan,nan,nan,0.29803286006994156,2.103448275862069,0.29803286006994156
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,1.0,0.625,0.75,0.625,nan,36,-1,0.32187521962290294,0.31758449379378695,0.31758449379378695,0.31758449379378695,0.31758449379378695,0.3228661000100654,0.32640450389525216,0.32717591166143534,0.32187521962290294,0.3277118248775548,nan,0.32717591166143534,0.3277118248775548,0.3277118248775548,0.3277118248775548,0.31994495148036634,0.3416953581880846,0.33973270701593344,0.33106615926532823,nan,nan,nan,0.32187521962290294,2.103448275862069,0.32187521962290294
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,1.0,0.375,0.875,0.75,nan,36,-1,0.35158335467847635,0.3289054673798171,0.3289054673798171,0.3289054673798171,0.3289054673798171,0.3519765282696503,0.35234512859034334,0.34635740399982295,0.35158335467847635,0.35269544721374296,nan,0.33967572053468076,0.34635740399982295,0.35269544721374296,0.35269544721374296,0.3358147286961737,0.3612776984222926,0.3556930334161959,0.3321257655430595,nan,nan,nan,0.35158335467847635,2.103448275862069,0.35158335467847635
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.0,0.875,0.0,0.5,nan,36,-1,0.3173539991193024,0.33795851069495075,0.33795851069495075,0.3173539991193024,0.3173539991193024,0.3278407320845392,0.3359383119812576,0.3427029794554847,0.33795851069495075,0.3444349795661543,nan,0.3173539991193024,0.3359383119812576,0.3444349795661543,0.3444349795661543,0.34141072993675053,0.3536688540520643,0.34057345363298464,0.3224838404232613,nan,nan,nan,0.3173539991193024,2.103448275862069,0.3173539991193024
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.25,0.75,0.0,0.75,nan,36,-1,0.336894008870085,0.3398947847444687,0.3398947847444687,0.336894008870085,0.3438500254338337,0.3438500254338337,0.3498305239077114,0.3532097292666029,0.3398947847444687,0.3532097292666029,nan,0.336894008870085,0.3532097292666029,0.3532097292666029,0.3532097292666029,0.3504688335594055,0.35708340982775894,0.35708340982775894,0.34830341669482223,nan,nan,nan,0.336894008870085,2.103448275862069,0.336894008870085
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.625,0.875,0.5,0.375,nan,36,-1,0.29803286006994156,0.30564148584746637,0.30564148584746637,0.29803286006994156,0.3132468878380011,0.3068849587774038,0.31188711221338283,0.3139129787987337,0.30564148584746637,0.31478113474908853,nan,0.31188711221338283,0.3094937876009089,0.31478113474908853,0.31478113474908853,0.31029021557530706,0.32809030778140075,0.31902370188216833,0.31932351716198093,nan,nan,nan,0.29803286006994156,2.103448275862069,0.29803286006994156
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.875,0.625,0.75,0.625,nan,36,-1,0.32187521962290294,0.3140479711535179,0.3140479711535179,0.3140479711535179,0.32454046206237824,0.3237414047581349,0.3254517337695622,0.326316531776501,0.32187521962290294,0.32866536269125374,nan,0.326316531776501,0.32866536269125374,0.32866536269125374,0.32866536269125374,0.31822119007145055,0.34212773611110336,0.338070516214181,0.33812718460321184,nan,nan,nan,0.32187521962290294,2.103448275862069,0.32187521962290294
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.5,0.375,0.5,0.375,nan,36,-1,0.35158335467847635,0.30461570247839376,0.30461570247839376,0.35158335467847635,0.35225347869336376,0.35304341106877496,0.35225347869336376,0.34317888572167066,0.35158335467847635,0.35318611930046073,nan,0.35225347869336376,0.35318611930046073,0.35438097532074464,0.35438097532074464,0.31243135129208344,0.36008781890131425,0.3574082771000602,0.3559296299821345,nan,nan,nan,0.35158335467847635,2.103448275862069,0.35158335467847635
