dataset,target,n_partners,n_target,n_min,n_partner_total,d_target,ratio_partner_to_target,events_target,epv_target,schema_jaccard,q_median,i2_median,benefit,helped
heart-4site,cleveland,1,212,205,205,13,0.9669811320754716,139,7.461538461538462,0.7692307692307693,3.9817816353775806,0.7473188765654344,-0.005301084156170477,0
heart-4site,cleveland,1,212,205,205,13,0.9669811320754716,139,7.461538461538462,0.7692307692307693,11.18822875668058,0.9104750614577697,-0.009575723898276989,0
heart-4site,cleveland,1,212,205,205,13,0.9669811320754716,139,7.461538461538462,0.7692307692307693,6.097712348280584,0.7666416582692064,0.016958759104656385,1
heart-4site,cleveland,2,212,86,291,13,1.3726415094339623,139,7.461538461538462,0.6153846153846154,8.794090433034546,0.83563878033092,0.0014730356557896007,1
heart-4site,cleveland,2,212,86,291,13,1.3726415094339623,139,7.461538461538462,0.6153846153846154,24.744551925959875,0.9352035261484698,-0.013326939212343403,0
heart-4site,cleveland,2,212,86,291,13,1.3726415094339623,139,7.461538461538462,0.6153846153846154,13.143808110761057,0.885889211340128,0.019542578265197563,1
heart-4site,cleveland,3,212,86,431,13,2.0330188679245285,139,7.461538461538462,0.6153846153846154,17.73552356426424,0.9023539304971683,-0.003025453938168887,0
heart-4site,cleveland,3,212,86,431,13,2.0330188679245285,139,7.461538461538462,0.6153846153846154,40.41328698561661,0.9267592399934288,-0.01685582227276572,0
heart-4site,cleveland,3,212,86,431,13,2.0330188679245285,139,7.461538461538462,0.6153846153846154,18.81804140196084,0.8927543774035582,0.023293311265326078,1
heart-4site,cleveland,2,212,86,226,13,1.0660377358490567,139,7.461538461538462,0.6923076923076923,12.249578574935503,0.8886461217087845,0.003667641456551407,1
heart-4site,cleveland,2,212,86,226,13,1.0660377358490567,139,7.461538461538462,0.6153846153846154,21.323701992185725,0.8887438708366733,-0.0006428951348905754,0
heart-4site,cleveland,2,212,86,226,13,1.0660377358490567,139,7.461538461538462,0.6153846153846154,17.697023526501482,0.9168068958804625,0.014064773865005376,1
heart-4site,cleveland,1,212,140,140,13,0.660377358490566,139,7.461538461538462,0.8461538461538461,8.155855787641828,0.8773887098990579,-0.002016479268070026,0
heart-4site,cleveland,1,212,140,140,13,0.660377358490566,139,7.461538461538462,0.7692307692307693,4.307076618560871,0.6934602618126554,-0.00046319956053109124,0
heart-4site,cleveland,1,212,140,140,13,0.660377358490566,139,7.461538461538462,0.7692307692307693,9.564076516085345,0.893409100294366,0.016149478491518043,1
heart-4site,hungarian,1,205,205,212,10,1.0341463414634147,106,7.4,0.7692307692307693,3.9817816353775806,0.7473188765654344,0.00304305720203224,1
heart-4site,hungarian,1,205,205,212,10,1.0341463414634147,106,7.4,0.7692307692307693,11.18822875668058,0.9104750614577697,0.03789883676524197,1
heart-4site,hungarian,1,205,205,212,10,1.0341463414634147,106,7.4,0.7692307692307693,6.097712348280584,0.7666416582692064,0.04531106616169067,1
heart-4site,hungarian,2,205,86,298,10,1.4536585365853658,106,7.4,0.6153846153846154,8.794090433034546,0.83563878033092,0.002388147901226101,1
heart-4site,hungarian,2,205,86,298,10,1.4536585365853658,106,7.4,0.6153846153846154,24.744551925959875,0.9352035261484698,0.03465245950759255,1
heart-4site,hungarian,2,205,86,298,10,1.4536585365853658,106,7.4,0.6153846153846154,13.143808110761057,0.885889211340128,0.0430499482904918,1
heart-4site,hungarian,3,205,86,438,10,2.1365853658536587,106,7.4,0.6153846153846154,17.73552356426424,0.9023539304971683,0.016230204378124058,1
heart-4site,hungarian,3,205,86,438,10,2.1365853658536587,106,7.4,0.6153846153846154,40.41328698561661,0.9267592399934288,0.029757351567281987,1
heart-4site,hungarian,3,205,86,438,10,2.1365853658536587,106,7.4,0.6153846153846154,18.81804140196084,0.8927543774035582,0.04142717484943348,1
heart-4site,hungarian,2,205,140,352,10,1.7170731707317073,106,7.4,0.7692307692307693,13.265380682359169,0.8533932875908722,0.02317869286938401,1
heart-4site,hungarian,2,205,140,352,10,1.7170731707317073,106,7.4,0.7692307692307693,28.796712547074197,0.901052767402049,0.03267869770392551,1
heart-4site,hungarian,2,205,140,352,10,1.7170731707317073,106,7.4,0.7692307692307693,13.595405698019285,0.8516537202613921,0.045739679226675656,1
heart-4site,hungarian,1,205,86,86,10,0.4195121951219512,106,7.4,0.6666666666666666,2.960969429437821,0.516739097820972,0.004669046601446847,1
heart-4site,hungarian,1,205,86,86,10,0.4195121951219512,106,7.4,0.6666666666666666,7.1158424017179716,0.8573283570845102,0.00923354249831887,1
heart-4site,hungarian,1,205,86,86,10,0.4195121951219512,106,7.4,0.6666666666666666,2.0961004298902917,0.3590625077209295,0.0036123655435841284,1
heart-4site,hungarian,1,205,140,140,10,0.6829268292682927,106,7.4,0.9090909090909091,1.1950153203184888,0.20483068593249926,0.00018609371680244902,1
heart-4site,hungarian,1,205,140,140,10,0.6829268292682927,106,7.4,1.0,8.29147642564934,0.8790893697866886,0.00513125095874245,1
heart-4site,hungarian,1,205,140,140,10,0.6829268292682927,106,7.4,1.0,2.3563226714479235,0.5754077396023866,0.014209096374102614,1
heart-4site,switzerland,2,86,86,417,10,4.848837209302325,115,0.6,0.6153846153846154,8.794090433034546,0.83563878033092,0.005091342519913944,1
heart-4site,switzerland,2,86,86,417,10,4.848837209302325,115,0.6,0.6153846153846154,24.744551925959875,0.9352035261484698,0.013611605325891007,1
heart-4site,switzerland,2,86,86,417,10,4.848837209302325,115,0.6,0.6153846153846154,13.143808110761057,0.885889211340128,0.0062094169678204025,1
heart-4site,switzerland,3,86,86,557,10,6.476744186046512,115,0.6,0.6153846153846154,17.73552356426424,0.9023539304971683,0.006076564194790857,1
heart-4site,switzerland,3,86,86,557,10,6.476744186046512,115,0.6,0.6153846153846154,40.41328698561661,0.9267592399934288,0.013611605325891007,1
